deg1,deg2
28.0,541.0
40.0,680.0
28.0,576.0
36.0,656.0
27.0,542.0
25.0,527.0
33.0,608.0
32.0,603.0
23.0,501.0
34.0,609.0
33.0,631.0
32.0,619.0
39.0,672.0
32.0,579.0
30.0,576.0
38.0,668.0
28.0,536.0
24.0,502.0
32.0,619.0
31.0,592.0
24.0,505.0
25.0,515.0
20.0,470.0
36.0,644.0
33.0,614.0
29.0,571.0
43.0,705.0
26.0,546.0
20.0,447.0
33.0,613.0
37.0,666.0
36.0,665.0
33.0,618.0
34.0,617.0
29.0,582.0
28.0,577.0
36.0,648.0
32.0,603.0
34.0,637.0
28.0,566.0
23.0,506.0
26.0,521.0
28.0,580.0
36.0,638.0
29.0,571.0
35.0,636.0
29.0,581.0
30.0,574.0
21.0,458.0
35.0,655.0
28.0,557.0
31.0,598.0
30.0,572.0
27.0,534.0
27.0,554.0
37.0,649.0
30.0,568.0
26.0,524.0
28.0,600.0
32.0,609.0
30.0,595.0
21.0,486.0
35.0,645.0
35.0,619.0
26.0,530.0
22.0,505.0
26.0,511.0
36.0,651.0
25.0,522.0
27.0,525.0
25.0,520.0
40.0,664.0
26.0,538.0
29.0,570.0
35.0,604.0
35.0,666.0
27.0,561.0
28.0,542.0
31.0,592.0
33.0,594.0
26.0,530.0
28.0,580.0
29.0,583.0
33.0,639.0
29.0,564.0
35.0,619.0
26.0,564.0
36.0,645.0
39.0,697.0
26.0,518.0
24.0,492.0
40.0,642.0
35.0,642.0
31.0,602.0
34.0,627.0
34.0,624.0
36.0,664.0
31.0,578.0
30.0,564.0
27.0,549.0
23.0,516.0
36.0,672.0
29.0,558.0
29.0,590.0
29.0,562.0
28.0,559.0
30.0,590.0
34.0,627.0
31.0,581.0
35.0,617.0
34.0,634.0
30.0,566.0
43.0,687.0
28.0,586.0
25.0,510.0
25.0,506.0
24.0,500.0
43.0,708.0
34.0,623.0
27.0,524.0
34.0,620.0
33.0,640.0
38.0,667.0
36.0,635.0
21.0,475.0
32.0,621.0
34.0,628.0
27.0,525.0
30.0,578.0
31.0,584.0
35.0,624.0
33.0,630.0
38.0,674.0
28.0,547.0
39.0,680.0
26.0,541.0
31.0,574.0
28.0,569.0
32.0,598.0
29.0,563.0
24.0,501.0
24.0,518.0
42.0,674.0
33.0,621.0
28.0,542.0
31.0,593.0
32.0,634.0
41.0,709.0
25.0,515.0
20.0,465.0
25.0,545.0
35.0,658.0
27.0,563.0
31.0,598.0
38.0,674.0
28.0,571.0
31.0,599.0
36.0,656.0
36.0,647.0
36.0,654.0
38.0,672.0
28.0,575.0
37.0,665.0
29.0,551.0
31.0,578.0
29.0,563.0
33.0,617.0
33.0,624.0
37.0,643.0
22.0,519.0
31.0,579.0
22.0,498.0
34.0,620.0
25.0,529.0
32.0,615.0
30.0,560.0
23.0,525.0
39.0,654.0
29.0,573.0
37.0,665.0
26.0,537.0
29.0,575.0
26.0,552.0
35.0,628.0
34.0,629.0
29.0,577.0
31.0,584.0
32.0,628.0
29.0,569.0
26.0,538.0
31.0,612.0
23.0,474.0
40.0,667.0
25.0,543.0
22.0,493.0
33.0,620.0
19.0,437.0
33.0,631.0
30.0,581.0
33.0,617.0
25.0,549.0
34.0,620.0
32.0,623.0
35.0,654.0
25.0,518.0
24.0,502.0
25.0,524.0
35.0,650.0
32.0,605.0
28.0,559.0
30.0,550.0
25.0,541.0
31.0,628.0
29.0,576.0
36.0,651.0
25.0,532.0
29.0,582.0
31.0,601.0
33.0,616.0
29.0,579.0
30.0,594.0
34.0,611.0
29.0,568.0
22.0,489.0
25.0,532.0
34.0,623.0
31.0,597.0
26.0,526.0
26.0,539.0
23.0,495.0
41.0,665.0
36.0,634.0
34.0,632.0
28.0,554.0
32.0,602.0
28.0,543.0
38.0,670.0
31.0,606.0
28.0,581.0
32.0,627.0
31.0,603.0
27.0,533.0
21.0,458.0
26.0,533.0
25.0,516.0
23.0,484.0
